"","model_guerrattacks_2014","","model_guerrattacks_2015","","model_guerrattacks_2016","","model_guerrattacks_2017","","model_guerrattacks_2018",""
"","b","ci95","b","ci95","b","ci95","b","ci95","b","ci95"
"coffee_pp_2014","-0.002","-0.007,0.004","","","","","","","",""
"coffee_pp_2015","","","-0.002","-0.008,0.004","","","","","",""
"coffee_pp_2016","","","","","-0.002","-0.007,0.004","","","",""
"coffee_pp_2017","","","","","","","-0.001","-0.007,0.004","",""
"coffee_pp_2018","","","","","","","","","-0.001","-0.007,0.005"
"oil_pp_","","","","","","","","","",""
"oil_pp_2014","-0.039","-0.073,-0.006","","","","","","","",""
"oil_pp_2015","","","-0.062","-0.094,-0.029","","","","","",""
"oil_pp_2016","","","","","-0.061","-0.092,-0.030","","","",""
"oil_pp_2017","","","","","","","-0.048","-0.075,-0.021","",""
"oil_pp_2018","","","","","","","","","-0.062","-0.086,-0.039"
"N","32504","","32504","","32504","","32504","","32504",""
