"","model_posdattacks_2014","","model_posdattacks_2015","","model_posdattacks_2016","","model_posdattacks_2017","","model_posdattacks_2018",""
"","b","ci95","b","ci95","b","ci95","b","ci95","b","ci95"
"coffee_pp_2014","-0.00003","-0.00033,0.00026","","","","","","","",""
"coffee_pp_2015","","","-0.00006","-0.00042,0.00030","","","","","",""
"coffee_pp_2016","","","","","-0.00007","-0.00046,0.00033","","","",""
"coffee_pp_2017","","","","","","","-0.00018","-0.00075,0.00039","",""
"coffee_pp_2018","","","","","","","","","-0.00012","-0.00047,0.00023"
"oil_pp_","","","","","","","","","",""
"oil_pp_2014","-0.00103","-0.00294,0.00088","","","","","","","",""
"oil_pp_2015","","","-0.00110","-0.00306,0.00087","","","","","",""
"oil_pp_2016","","","","","-0.00117","-0.00322,0.00087","","","",""
"oil_pp_2017","","","","","","","-0.00140","-0.00376,0.00096","",""
"oil_pp_2018","","","","","","","","","-0.00072","-0.00224,0.00080"
"N","32504","","32504","","32504","","32504","","32504",""
