"","model_clashes_2014","","model_clashes_2015","","model_clashes_2016","","model_clashes_2017","","model_clashes_2018",""
"","b","ci95","b","ci95","b","ci95","b","ci95","b","ci95"
"coffee_pp_dp_2014","0.005","-0.001,0.010","","","","","","","",""
"coffee_pp_dp_2015","","","0.006","-0.001,0.012","","","","","",""
"coffee_pp_dp_2016","","","","","-0.000","-0.004,0.004","","","",""
"coffee_pp_dp_2017","","","","","","","0.003","-0.001,0.008","",""
"coffee_pp_dp_2018","","","","","","","","","0.003","-0.001,0.008"
"oil_pp_dp_2014","-0.002","-0.003,-0.000","","","","","","","",""
"oil_pp_dp_2015","","","-0.001","-0.003,0.000","","","","","",""
"oil_pp_dp_2016","","","","","0.000","-0.007,0.008","","","",""
"oil_pp_dp_2017","","","","","","","-0.002","-0.003,-0.000","",""
"oil_pp_dp_2018","","","","","","","","","-0.000","-0.005,0.004"
"N","11692","","11692","","11692","","11692","","11692",""
