"","model_guerrmass_2014","","model_guerrmass_2015","","model_guerrmass_2016","","model_guerrmass_2017","","model_guerrmass_2018",""
"","b","ci95","b","ci95","b","ci95","b","ci95","b","ci95"
"coffee_pp_dp_2014","0.00007","-0.00024,0.00038","","","","","","","",""
"coffee_pp_dp_2015","","","-0.00001","-0.00041,0.00040","","","","","",""
"coffee_pp_dp_2016","","","","","-0.00008","-0.00036,0.00020","","","",""
"coffee_pp_dp_2017","","","","","","","-0.00005","-0.00040,0.00031","",""
"coffee_pp_dp_2018","","","","","","","","","-0.00004","-0.00039,0.00031"
"oil_pp_dp_2014","-0.00010","-0.00024,0.00005","","","","","","","",""
"oil_pp_dp_2015","","","-0.00011","-0.00027,0.00006","","","","","",""
"oil_pp_dp_2016","","","","","-0.00006","-0.00016,0.00004","","","",""
"oil_pp_dp_2017","","","","","","","-0.00008","-0.00021,0.00004","",""
"oil_pp_dp_2018","","","","","","","","","-0.00008","-0.00020,0.00004"
"N","11692","","11692","","11692","","11692","","11692",""
