"","model_posdmass_2014","","model_posdmass_2015","","model_posdmass_2016","","model_posdmass_2017","","model_posdmass_2018",""
"","b","ci95","b","ci95","b","ci95","b","ci95","b","ci95"
"coffee_pp_dp_2014","0.00012","-0.00008,0.00031","","","","","","","",""
"coffee_pp_dp_2015","","","0.00016","-0.00006,0.00038","","","","","",""
"coffee_pp_dp_2016","","","","","0.00013","0.00001,0.00026","","","",""
"coffee_pp_dp_2017","","","","","","","0.00009","-0.00009,0.00027","",""
"coffee_pp_dp_2018","","","","","","","","","0.00012","-0.00004,0.00029"
"oil_pp_dp_2014","-0.00005","-0.00024,0.00014","","","","","","","",""
"oil_pp_dp_2015","","","-0.00007","-0.00023,0.00009","","","","","",""
"oil_pp_dp_2016","","","","","0.00005","-0.00011,0.00021","","","",""
"oil_pp_dp_2017","","","","","","","0.00009","-0.00004,0.00021","",""
"oil_pp_dp_2018","","","","","","","","","-0.00007","-0.00019,0.00005"
"N","11692","","11692","","11692","","11692","","11692",""
